# 扫地机器人+扫拖一体机器人 维护保养200条（纯保养维度，分通用基础/扫地专属/扫拖一体拖地专属/耗材专项/环境适配/长期存放/故障预防，覆盖全机型日常维护）
## 通用基础维护（50条）
1. 每日使用后，用干软布擦拭机器人机身外壳，去除灰尘、水渍，避免污渍附着硬化。
2. 每次清扫完成，及时清理机身防撞条缝隙的毛发、线头，防止卡扣卡顿影响回弹。
3. 每日检查机器人底部驱动轮、万向轮，用镊子挑出缠绕的毛发、杂物，保证轮组转动顺畅。
4. 日常使用时，避免机器人碰撞尖锐硬物（如桌角、金属架），防止机身外壳、传感器损坏。
5. 每天清洁机器人充电触点，用干布擦拭机身和充电座的金属触点，避免氧化导致接触不良。
6. 机器人工作时，避免用手触碰旋转的主刷、边刷，防止夹伤和配件损坏。
7. 每日检查机身底部防跌落、沿边传感器，用干布轻擦表面，无灰尘、水渍遮挡。
8. 清洁机器人时，全程断开电源，切勿用水直接冲洗机身（防水机型仅可擦拭，不可浸泡）。
9. 每日清理尘盒卡扣处的杂物，保证尘盒安装到位，避免漏灰、报警。
10. 每次使用后，将机器人放回充电座，保证随时补电，避免亏电存放。
11. 每周检查机器人机身螺丝，若有松动及时拧紧，防止配件脱落。
12. 每周用软毛刷清理机器人散热口，避免灰尘堵塞导致电机过热保护。
13. 每周轻按防撞条多次，检查回弹是否正常，若卡顿及时拆解清理内部杂物。
14. 每周擦拭机器人APP连接指示灯、按键，避免灰尘覆盖影响操作和显示。
15. 每月对万向轮、驱动轮转轴处滴1-2滴专用润滑油，避免生锈、异响（切勿滴多，防止粘灰）。
16. 每月检查机器人电池仓，确认电池无鼓包、漏液，排线连接牢固无松动。
17. 每月用干布擦拭机器人避障摄像头/传感器，避免灰尘、指纹影响识别精度。
18. 每月对机器人机身进行一次全面除尘，包括底部、背部、充电口等死角。
19. 机器人出现轻微异响时，立即停机检查，切勿强行使用导致故障扩大。
20. 更换任何配件前，务必断开电源，确认配件型号与机型匹配，避免混用。
21. 避免机器人在高温（＞40℃）、低温（＜0℃）环境下长时间工作，防止电池、电机损坏。
22. 避免机器人接触腐蚀性液体（如酒精、消毒液、洗洁精），防止机身、配件老化。
23. 机器人工作完成后，若机身沾有油污，用中性洗涤剂稀释后轻擦，再用干布擦干。
24. 每日检查充电座摆放是否平整，周围无杂物遮挡，保证机器人回充顺畅。
25. 每周清理充电座红外感应区，用干布擦拭，避免灰尘影响回充信号接收。
26. 充电座电源线避免挤压、缠绕，每周检查插头、线体无破损，防止短路。
27. 机器人不可长时间在阳光直射处工作/存放，防止外壳褪色、传感器感光异常。
28. 每月检查机器人主刷、边刷卡扣，确认无断裂、松动，保证配件安装牢固。
29. 日常移动机器人时，轻拿轻放，切勿拖拽、摔落，防止内部零件移位。
30. 每周检查机器人尘盒出风口，确保无堵塞，保证吸力正常。
31. 机器人工作时，若遇到大颗粒垃圾（如石子、瓶盖），及时手动清理，避免卡死机件。
32. 每月用软毛刷清理机器人吸口处的杂物，防止吸口堵塞影响吸尘效果。
33. 每日检查机器人是否有明显划痕、变形，若因碰撞导致变形及时联系售后校正。
34. 避免在机器人机身粘贴粘性过强的贴纸，拆除时易残留胶渍，腐蚀外壳。
35. 每周擦拭机器人集尘口（集尘款），保证密封严实，避免漏灰。
36. 机器人使用时，避免地面有大量积水，防止水渍进入机身内部短路。
37. 每月检查机器人拖地模组接口（扫拖一体），保证无灰尘、杂物，连接顺畅。
38. 日常使用后，将机器人的清扫模式调至“待机”，减少电量消耗。
39. 每周检查充电座电源适配器，无发热、异响，避免长时间超负荷工作。
40. 机器人若不慎沾到宠物粪便，立即用湿巾清理干净，再用中性洗涤剂擦拭，避免滋生细菌。
41. 每日检查机器人边刷的旋转情况，若卡顿立即停机清理，防止电机烧毁。
42. 避免机器人在高落差区域（如楼梯口）工作，即使有防跌落功能，也需做好防护。
43. 每月对机器人进行一次“空转测试”，无负载开机运行1分钟，检查有无异响、卡顿。
44. 机器人机身的硅胶配件（如密封圈、防撞条），每周用干布擦拭，避免老化开裂。
45. 每日清理机器人滚刷仓入口处的杂物，防止进入仓内缠绕主刷。
46. 避免用硬毛刷、钢丝球清理机器人配件，防止刮伤表面、损坏传感器。
47. 每周检查机器人APP连接状态，确保网络正常，及时接收耗材、故障提醒。
48. 机器人充电时，保证充电环境通风良好，无易燃、易爆物品。
49. 每月检查机器人的防缠绕梳齿（若有），确保无变形、断裂，正常梳理毛发。
50. 日常使用遵循“轻用轻放、及时清理”原则，减少配件磨损，延长整机寿命。

## 扫地功能专属维护（30条）
1. 每次清扫完成后，立即清理主刷上的毛发、线头，用剪刀剪断缠绕物，切勿强行拉扯。
2. 每日清理边刷上的灰尘、杂物，保证边刷旋转时能正常将边角灰尘扫入吸口。
3. 每周拆解主刷滚刷仓，用软毛刷清理仓内的灰尘、毛发，无死角残留。
4. 主刷使用时若出现“打滑”，检查滚刷胶条是否磨损，及时清洁或更换。
5. 每周清理机器人风道，用软毛刷从尘盒出风口向吸口方向清扫，保证风道通畅。
6. 集尘款机器人，每日检查集尘通道，无毛发、杂物堵塞，确保集尘顺畅。
7. 每次清理尘盒后，用干布擦拭尘盒内部，避免灰尘结块，不可用水浸泡（防水尘盒除外）。
8. 尘盒滤网需与尘盒配套安装，不可缺失，防止灰尘进入电机导致损坏。
9. 扫地时若吸力下降，优先检查尘盒、滤网、风道是否堵塞，逐一清理后重试。
10. 每周检查机器人吸口滚刷（无主刷机型），确保无缠绕、磨损，转动顺畅。
11. 集尘款机器人，每日检查集尘袋安装是否到位，密封严实，避免漏灰。
12. 机器人在长毛地毯上清扫后，立即清理主刷上的地毯纤维，防止缠绕硬化。
13. 每月检查主刷电机的工作状态，运行时无异常发热、异响，如有及时停机。
14. 清理主刷时，注意保护滚刷两端的轴承，避免进水、进灰导致卡顿。
15. 边刷磨损至刷毛长度＜1cm时，立即更换，避免影响边角清扫效果。
16. 每周用软毛刷清理机器人的灰尘传感器，避免误判环境灰尘量导致吸力异常。
17. 集尘款机器人，每周清理集尘座的出风口，无堵塞，保证集尘吸力正常。
18. 机器人在水泥地、地砖等粗糙地面清扫后，及时清理机身底部的泥沙，防止磨损轮组。
19. 每次清扫完成，将尘盒内的垃圾倾倒干净，避免长时间存放滋生细菌、产生异味。
20. 每月检查机器人的吸力调节模块，确保各档位吸力切换正常，无卡顿。
21. 清理毛发时，若主刷有防缠绕设计，利用梳齿快速剥离毛发，提高清理效率。
22. 机器人若支持“地毯增压”，使用后检查增压模块是否复位，无卡顿、异响。
23. 每周检查边刷卡扣，确保边刷安装牢固，旋转时无松动、偏移。
24. 尘盒若有异味，用活性炭包放入尘盒内吸附，或用中性除味剂轻擦，晾干后使用。
25. 机器人在有宠物的环境使用后，立即清理主刷、尘盒，避免宠物毛发结块。
26. 每月拆解机器人的吸口组件，清理内部的细小杂物，保证吸口通畅。
27. 集尘款机器人，更换集尘袋时，先关闭电源，避免集尘过程中漏灰。
28. 主刷滚刷若为可拆卸设计，每周拆卸清洗一次（非防水款用干布擦拭），晾干后安装。
29. 机器人清扫大颗粒垃圾后，立即检查吸口、滚刷仓，无残留，防止卡机。
30. 每月检查机器人的电机散热风扇，无灰尘堵塞，保证电机正常散热。

## 扫拖一体拖地功能专属维护（40条）
1. 每次拖地完成后，立即拆卸拖布，用清水冲洗干净，拧干后放在通风处晾干，避免发霉。
2. 每日清理拖布支架，用软毛刷挑出缠绕的毛发、线头，保证支架干净无杂物。
3. 每次使用水箱前，检查水箱内无杂质、水垢，加水时用清水，避免自来水直接加注产生水垢。
4. 拖地完成后，将水箱内剩余的清水排空，用干布擦拭水箱内部和出水口，防止水垢堵塞。
5. 每周用柠檬酸溶液（1:50稀释）浸泡水箱10分钟，清理水垢，再用清水冲洗干净，晾干。
6. 自动洗拖布机型，每次使用后倾倒污水仓，用清水冲洗污水仓和滤网，无污渍残留。
7. 自动洗拖布机型，每日清理清洁仓的清洁刷，挑出毛发、杂物，保证洗拖布效果。
8. 拖布支架的转轴处，每月滴1滴专用润滑油，避免生锈、卡顿，确保拖布旋转顺畅。
9. 每次安装拖布前，检查拖布是否干净、无硬化，确保拖地时无二次污染。
10. 水箱密封圈每周用干布擦拭，检查无老化、开裂、变形，保证水箱密封严实不漏水。
11. 自动洗拖布机型，每周清理清洁仓的水位传感器，用干布轻擦，避免污渍遮挡导致误判。
12. 拖地时若出水量异常，立即清理水箱出水口和出水管，用牙签轻轻疏通，避免堵塞。
13. 电动拖布机型，每次使用后检查拖布电机，无异常发热、异响，及时清理电机周围杂物。
14. 拖布若有异味，用温水+中性洗涤剂浸泡15分钟，刷洗干净后用开水烫一遍，晾干后使用。
15. 每次安装水箱前，检查机身水箱接口，无灰尘、杂物，保证连接顺畅不漏水。
16. 自动抬升拖布机型，每日检查抬升模块，确保无卡顿、偏移，拖布抬升、放下正常。
17. 一次性拖布使用后立即丢弃，不可重复使用，避免掉毛、堵塞拖地模组。
18. 每周擦拭拖地模组的底部，去除水渍、污渍，防止滋生细菌、产生异味。
19. 自动洗拖布机型，每月用除垢剂清理清洁仓的水泵管道，避免水垢堵塞导致不出水。
20. 水箱添加清洁液时，严格按比例稀释，不可直接加注浓清洁液，防止腐蚀水箱和管道。
21. 拖地完成后，用干布擦拭机器人机身底部的拖地模组接口，无水渍、灰尘残留。
22. 每周检查拖布的粘贴/卡扣设计，确保无松动、脱落，拖布安装牢固。
23. 自动洗拖布机型，每次使用后清理清洁仓的排水口，无杂物堵塞，保证排水顺畅。
24. 拖布在使用过程中若出现“掉毛”，立即更换，避免毛絮留在地面，影响清洁效果。
25. 每月检查水箱的出水阀，确保开合正常，无卡顿、漏水，出水顺畅。
26. 拖地模组的塑料配件，避免接触高温、腐蚀性液体，防止老化、变形。
27. 自动洗拖布机型，每周检查污水仓滤网，无堵塞、破损，确保过滤效果，避免污水回流。
28. 每次拖地前，将拖布轻轻拍打，去除浮灰，再安装使用，避免浮灰污染地面。
29. 水箱长期不用时，用干布擦拭密封圈，在密封圈处涂一层薄硅胶油，防止老化。
30. 电动拖布机型，每月检查拖布的旋转速度，确保无变慢、卡顿，如有及时清理或维修。
31. 拖地时若地面出现划痕，立即检查拖布内是否夹杂沙粒、硬物，清理后再使用。
32. 自动洗拖布机型，每日检查清洁仓的清水加注口，无灰尘、杂物堵塞，加注顺畅。
33. 每周清理拖布支架上的污渍、水垢，用软毛刷轻刷，避免硬化后难以清理。
34. 拖地完成后，将拖布支架拆卸下来，放在通风处晾干，避免与机身贴合滋生细菌。
35. 每月检查拖地模组的电线排线，确保无破损、松动，防止短路、接触不良。
36. 水箱若不慎进入杂物，立即排空清水，用镊子将杂物夹出，再用清水冲洗干净。
37. 自动洗拖布机型，使用后用干布擦拭清洁仓外壳，去除水渍、污渍，保持干净。
38. 拖布使用3-5次后，用高温蒸汽消毒一次，杀灭细菌、螨虫，尤其适合宠物/婴儿家庭。
39. 每月检查自动抬升拖布机型的电机，运行时无异常发热，如有及时联系售后检测。
40. 拖地模组的所有配件，拆卸清理后需晾干再安装，避免进水导致电机、电路损坏。

## 耗材专项维护与更换（30条）
1. HEPA滤网：每周用软毛刷轻刷表面灰尘，每1-2个月用清水冲洗（不可揉搓），阴凉处晾干，3-6个月更换新滤网。
2. 主刷：普通家庭3-6个月更换，宠物家庭/长毛地毯环境1-3个月更换，出现磨损、变形、开裂立即更换。
3. 边刷：刷毛磨损至＜1cm、变形或断裂时更换，一般2-3个月更换一次，多尘环境1个月更换。
4. 尘盒滤网（初效）：每日清理表面灰尘，每月用清水冲洗，晾干后使用，6个月更换一次。
5. 拖布（可水洗）：正常使用3-6个月更换，宠物/重油污环境1-2个月更换，出现硬化、掉毛、破损立即更换。
6. 水箱密封圈：每6-12个月更换一次，若出现老化、开裂、漏水，无需等待，立即更换。
7. 集尘袋（集尘款）：普通家庭1-2个月更换，多尘/宠物家庭半个月-1个月更换，集尘量达80%时及时更换。
